Date,Part_ID,Price,Quantity,Cost,Revenue,Margin
2024-01-01,Brake_Pad_A,43.31,128,20.2,5543.68,2958.0800000000004
2024-01-01,Oil_Filter_B,13.45,307,5.18,4129.15,2538.89
2024-01-01,Spark_Plug_C,25.76,200,8.38,5152.0,3476.0000000000005
2024-01-01,Air_Filter_D,21.99,214,6.78,4705.86,3254.9399999999996
2024-01-01,Shock_Absorber_E,112.95,57,58.75,6438.150000000001,3089.4
2024-01-02,Brake_Pad_A,46.51,84,19.73,3906.8399999999997,2249.52
2024-01-02,Oil_Filter_B,14.8,320,5.01,4736.0,3132.8
2024-01-02,Spark_Plug_C,25.69,160,7.74,4110.400000000001,2872.0000000000005
2024-01-02,Air_Filter_D,17.39,305,6.72,5303.95,3254.3500000000004
2024-01-02,Shock_Absorber_E,126.63,44,59.97,5571.719999999999,2933.04
2024-01-03,Brake_Pad_A,38.71,138,20.33,5341.9800000000005,2536.4400000000005
2024-01-03,Oil_Filter_B,14.15,317,4.84,4485.55,2951.27
2024-01-03,Spark_Plug_C,28.52,184,8.34,5247.68,3713.12
2024-01-03,Air_Filter_D,17.53,270,6.88,4733.1,2875.5000000000005
2024-01-03,Shock_Absorber_E,115.99,49,59.14,5683.509999999999,2785.6499999999996
2024-01-04,Brake_Pad_A,42.04,110,20.6,4624.4,2358.3999999999996
2024-01-04,Oil_Filter_B,13.09,319,5.16,4175.71,2529.67
2024-01-04,Spark_Plug_C,26.55,193,7.66,5124.150000000001,3645.77
2024-01-04,Air_Filter_D,19.15,240,7.09,4596.0,2894.3999999999996
2024-01-04,Shock_Absorber_E,113.91,41,58.95,4670.3099999999995,2253.3599999999997
2024-01-05,Brake_Pad_A,48.1,97,19.94,4665.7,2731.52
2024-01-05,Oil_Filter_B,13.29,345,5.03,4585.049999999999,2849.6999999999994
2024-01-05,Spark_Plug_C,27.03,179,7.94,4838.37,3417.11
2024-01-05,Air_Filter_D,17.15,269,7.1,4613.349999999999,2703.45
2024-01-05,Shock_Absorber_E,113.32,57,58.5,6459.24,3124.74
2024-01-06,Brake_Pad_A,43.79,112,19.15,4904.48,2759.6800000000003
2024-01-06,Oil_Filter_B,14.05,337,5.19,4734.85,2985.8199999999997
2024-01-06,Spark_Plug_C,27.28,164,8.03,4473.92,3157.0
2024-01-06,Air_Filter_D,21.84,254,6.73,5547.36,3837.94
2024-01-06,Shock_Absorber_E,110.21,58,62.16,6392.179999999999,2786.8999999999996
2024-01-07,Brake_Pad_A,38.34,123,19.44,4715.820000000001,2324.7000000000003
2024-01-07,Oil_Filter_B,13.29,326,4.91,4332.54,2731.8799999999997
2024-01-07,Spark_Plug_C,25.14,209,8.38,5254.26,3502.8399999999997
2024-01-07,Air_Filter_D,22.77,211,6.86,4804.47,3357.01
2024-01-07,Shock_Absorber_E,112.25,58,58.67,6510.5,3107.64
2024-01-08,Brake_Pad_A,50.51,81,19.98,4091.31,2472.93
2024-01-08,Oil_Filter_B,17.19,260,5.13,4469.400000000001,3135.6000000000004
2024-01-08,Spark_Plug_C,23.03,240,8.11,5527.200000000001,3580.8
2024-01-08,Air_Filter_D,20.8,245,7.23,5096.0,3324.65
2024-01-08,Shock_Absorber_E,113.55,49,60.55,5563.95,2597.0
2024-01-09,Brake_Pad_A,47.4,87,19.35,4123.8,2440.35
2024-01-09,Oil_Filter_B,15.86,286,4.82,4535.96,3157.4399999999996
2024-01-09,Spark_Plug_C,23.81,198,8.3,4714.38,3070.9799999999996
2024-01-09,Air_Filter_D,18.55,281,7.04,5212.55,3234.3100000000004
2024-01-09,Shock_Absorber_E,121.07,44,62.38,5327.08,2582.3599999999997
2024-01-10,Brake_Pad_A,50.41,92,19.7,4637.719999999999,2825.3199999999997
2024-01-10,Oil_Filter_B,16.02,315,5.14,5046.3,3427.2
2024-01-10,Spark_Plug_C,26.07,168,8.32,4379.76,2982.0
2024-01-10,Air_Filter_D,20.64,254,6.76,5242.56,3525.52
2024-01-10,Shock_Absorber_E,121.75,53,58.35,6452.75,3360.2
2024-01-11,Brake_Pad_A,47.86,87,20.49,4163.82,2381.19
2024-01-11,Oil_Filter_B,15.67,315,5.03,4936.05,3351.6000000000004
2024-01-11,Spark_Plug_C,21.95,241,7.8,5289.95,3410.1499999999996
2024-01-11,Air_Filter_D,22.84,218,7.09,4979.12,3433.5
2024-01-11,Shock_Absorber_E,130.61,43,59.96,5616.2300000000005,3037.9500000000003
2024-01-12,Brake_Pad_A,40.89,122,19.05,4988.58,2664.48
2024-01-12,Oil_Filter_B,15.65,289,5.21,4522.85,3017.1600000000003
2024-01-12,Spark_Plug_C,24.46,228,7.91,5576.88,3773.4
2024-01-12,Air_Filter_D,22.11,222,7.04,4908.42,3345.54
2024-01-12,Shock_Absorber_E,135.7,44,57.58,5970.799999999999,3437.2799999999997
2024-01-13,Brake_Pad_A,46.55,99,20.48,4608.45,2580.93
2024-01-13,Oil_Filter_B,15.89,303,4.9,4814.67,3329.9700000000003
2024-01-13,Spark_Plug_C,27.32,192,8.33,5245.4400000000005,3646.0800000000004
2024-01-13,Air_Filter_D,20.07,255,7.1,5117.85,3307.3500000000004
2024-01-13,Shock_Absorber_E,127.27,42,57.56,5345.34,2927.8199999999997
2024-01-14,Brake_Pad_A,46.06,101,20.18,4652.06,2613.88
2024-01-14,Oil_Filter_B,12.89,339,5.01,4369.71,2671.32
2024-01-14,Spark_Plug_C,27.02,170,7.67,4593.4,3289.5000000000005
